FIPS,AveBMI,AvePM,NumTot,MedHVal,MedHInc,PerAsianAm,PerBlack,PerLatinx,PerWhite,FemaleUnemp,MaleUnemp,LTHS,State,ClimateRegion
12071,26.98959330252407,6.9669419999999995,497885,210600,50014,0.012882492945158018,0.06449481305924058,0.15258945338783053,0.7580023499402473,8.1,9.8,23.1,FL,southeast
39017,27.79763538377075,13.411243830676026,275526,160600,54788,0.02365294019439182,0.06559090612138238,0.03196794494893404,0.8656061496918621,6.4,8.3,11.1,OH,ohio_valley
17039,26.742344975443913,12.031373,12739,96200,45347,0.003375461182196405,0.005023942224664416,0.014993327576732867,0.9686788601931078,5.4,8,12.1,IL,ohio_valley
01113,29.73609547092988,12.7366816446953,39448,93300,32481,0.004993916041370919,0.39436726830257557,0.030293044007300752,0.5530571892111134,NA,NA,26.5,NA,NA
37027,27.34414639343232,10.106140092890689,64243,106900,37261,0.004545242283205952,0.04585713618604362,0.03447846457979858,0.905841881605778,10.6,9.4,21.6,NC,southeast
31153,27.44597625005131,10.730493013480938,113118,158600,68280,0.02223341996852844,0.03821672943298149,0.0595219151682314,0.8612864442440638,4.2,4,10.7,NE,rockies
17145,26.619045209101532,10.209090999999999,17717,76900,40696,0.003781678613760795,0.09646102613309251,0.027487723655246373,0.8641417847265338,7.5,10,33.7,IL,ohio_valley
37037,26.483207330387163,8.898291,49664,193900,56038,0.01051063144329897,0.13367831829896906,0.09934761597938144,0.7452682023195877,6.3,5.8,28.6,NC,southeast
28027,32.447171974896946,11.450833,18487,53400,24726,0.004543733434305188,0.7153675555795965,0.010926597068210094,0.26521339319521825,13.1,17.6,27.6,MS,south
06067,27.43711991666776,8.03111285584839,1055735,324200,56439,0.14085447579174698,0.09517255750732902,0.18482100148237957,0.5294633596499122,NA,NA,17.3,NA,NA
44005,26.59649433372247,7.925849615309234,66462,388800,67239,0.01495591465800006,0.030889831783575575,0.033387499623845206,0.900078240197406,4.2,5.5,12.2,RI,northeast
18145,28.440100725551208,13.791525,33591,126400,52292,0.00494179988687446,0.008990503408651127,0.028698163198475783,0.9497186746449942,8.3,6.4,26.1,IN,ohio_valley
42051,28.169035485284628,11.316949,108926,82500,34796,0.002845968822870573,0.04366267006958853,0.0064722839358830764,0.938683142684024,7.6,9.7,20.6,PA,northeast
37065,31.12766819525796,9.640236362283536,42673,82600,32665,0.001945023785531835,0.5550113655004335,0.02922222482600239,0.4052210999929698,14,13.3,22,NC,southeast
36031,26.357745569177684,4.365455,31784,148100,45216,0.005883463377800151,0.0297948653410521,0.026868864837654164,0.925874653913919,7.2,6.5,20.3,NY,northeast
51065,26.956944899964434,9.424166999999999,19773,246100,68223,0.005816011733171497,0.1569311687654883,0.023365194962828097,0.8015475648611743,2.8,5.9,14.6,VA,southeast
10005,28.004357562772125,9.799307478043968,156838,243700,51046,0.009187824379295833,0.11255563065073515,0.06696081306826152,0.7960188219691656,6.9,6.6,26,DE,northeast
01067,28.759863230872515,10.271716999999999,13384,89700,38379,0.0021667662881052004,0.2763000597728631,0.01748356246264196,0.6952331141661685,NA,NA,24.5,NA,NA
21239,27.71123881701015,11.856039577528588,18936,180800,56537,0.0037494719053654414,0.05027460920997043,0.05360160540768906,0.8843472750316856,6.7,4.3,13.7,KY,ohio_valley
19013,27.651555413499956,10.761285748849282,102594,118600,44178,0.012456868822738172,0.07482893736475817,0.02792560968477689,0.8727703374466343,5,6.9,9.8,IA,upper_midwest
12061,27.444823423971684,7.3008883384815935,112076,198200,47341,0.011831257361076413,0.07353046147257218,0.09191084621149934,0.8124130054605804,9.1,11.9,24.7,FL,southeast
06093,25.825649570530828,4.501818,35575,237400,36981,0.012143359100491918,0.012396345748418833,0.08177090653548841,0.8278285312719607,NA,NA,13.9,NA,NA
45037,28.32868370260047,10.629476524042932,21214,101600,42834,0.0034882624681813897,0.36315640614688416,0.055482228716885074,0.5677854247195249,8.1,8.9,26.5,SC,southeast
18003,28.513557254519537,11.843442999999999,259371,113200,48714,0.02419314418342837,0.10595633282055435,0.05132416499917107,0.8021791179430237,7.2,7.9,19.9,IN,ohio_valley
01009,28.500540172715937,10.815232325095067,43216,113700,45549,0.002059422436134765,0.012125138837467605,0.06303221029248426,0.9090383191410588,NA,NA,22.4,NA,NA
22019,27.932065645951372,9.521857426160748,143756,109400,43758,0.011053451682016751,0.2305712457219177,0.022816438966025764,0.7174796182420212,6.1,8,19.4,LA,south
51520,24.195918457108952,10.830508,14128,94100,32079,0.006441109852774632,0.05195356738391846,0.010121744054360136,0.9186721404303511,10.2,9.3,16.6,VA,southeast
46029,26.75801108622821,8.749138,20478,131000,43275,0.004297294657681414,0.002685809161050884,0.01054790506885438,0.9597128625842367,3.2,3.4,21.1,SD,rockies
41067,27.00340863666353,6.268056832227258,393872,303700,62574,0.08657634967705244,0.015662448714303123,0.12712251695982452,0.7393747207214526,6.5,7.2,17.7,OR,northwest
18147,29.135285373587035,12.967645117214595,15889,111600,52105,0.0029580212725785135,0.004531436843098999,0.017307571275725346,0.9690351815721568,5.4,5.2,16.9,IN,ohio_valley
17073,27.99485377137583,9.8,38391,108800,49164,0.003203875908416035,0.012528978145919616,0.03503425281967128,0.9409757495246281,3.1,5.8,15.4,IL,ohio_valley
45025,30.098626320260344,10.201694999999999,35177,77600,32979,0.0034113198965232965,0.3119936322028598,0.030474457742274783,0.6414418512095972,11.1,9.9,27.1,SC,southeast
28101,27.253576675573303,11.177311,16067,67100,36154,0.0024273355324578327,0.2889151677351092,0.01064293271923819,0.6566253812161573,5.5,3.9,16.9,MS,south
01079,28.19448998507595,10.971867573966076,26375,97600,40516,0.0012511848341232228,0.11537440758293839,0.011639810426540284,0.7862369668246445,NA,NA,24,NA,NA
08031,26.12231236062856,7.884821183328777,471392,240900,45501,0.033816865793225175,0.09272325368270994,0.26540755888941686,0.5831112959065915,NA,NA,20.2,NA,NA
